List the type of the recent files in my drive	GET drive.recent
Give me the shared with status of top 9 pdf files ordered by create time from oldest to newest.	GET drive.root.children FILTER file.fileType eq pdf ORDERBY file.createdDateTime asc TOP 9
What is the created time of the last file  Eleni Aurrichio created this Thursday?	GET drive.root.children FILTER file.createdBy eq Eleni Aurrichio FILTER file.createdDateTime eq last Thursday ORDERBY file.createdDateTime desc TOP 1
Provide the top 15 Feeding preferences image files arranged in order of creation time from newest to oldest.	GET drive.root.children FILTER file.name eq Feeding preferences FILTER file.fileType eq jpeg ORDERBY file.createdDateTime desc TOP 15
Which are the hiring files that were created by Margrett Mathur arranged in order of created time from newest to oldest?	GET drive.root.children FILTER file.createdBy eq Margrett Mathur FILTER file.name eq hiring ORDERBY file.createdDateTime desc
Give me the created time of the last file created by  Eleni Aurrichio on last Thursday.	GET drive.root.children FILTER file.createdBy eq Eleni Aurrichio FILTER file.createdDateTime eq last Thursday ORDERBY file.createdDateTime desc TOP 1
Give me the shared with status of top 9 pdf files ordered by create time from oldest to newest.	GET drive.root.children FILTER file.fileType eq pdf ORDERBY file.createdDateTime asc TOP 9
List out the top 15 files ordered by their created time from oldest to newest.	GET drive.root.children ORDERBY file.createdDateTime asc TOP 15
Provide me the files that were shared with anyone in my organization in the order of create time from oldest to newest.	GET drive.root.children FILTER file.sharedWith eq anyone in my organization ORDERBY file.createdDateTime asc
What are the id of top 10 files that were created by Peele and were last modified three hours ago and arrange them in the order of their create time from newest to oldest?	GET drive.root.children FILTER file.createdBy eq Peele FILTER file.lastModifiedDateTime eq three hours ago ORDERBY file.createdDateTime desc TOP 10
Give me the top 8 central-server architecture files that were edited three hours ago ordered by their create time from oldest to newest.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.name eq central-server architecture TOP 8 ORDERBY file.createdDateTime asc
What files are there in my drive created on last Wednesday ordered by created time from newest to oldest	GET drive.root.children FILTER file.createdDateTime eq last Wednesday ORDERBY file.createdDateTime desc
Which are the top 4 files in the order of created time from newest to oldest shared with specific users?	GET drive.root.children FILTER file.sharedWith eq specific users TOP 4 ORDERBY file.createdDateTime desc
What are the top 4 file type of files created by Zetta ordered from oldest to newest?	GET drive.root.children FILTER file.createdBy eq Zetta TOP 4 ORDERBY file.createdDateTime asc
What files were created last Tuesday by Valentina Monarrez arranged in order of created time from oldest to newest?	GET drive.root.children FILTER file.createdBy eq Valentina Monarrez FILTER file.createdDateTime eq last Tuesday ORDERBY file.createdDateTime asc
Tell me about the files named as lan that were created by Darryl Gaut and last updated by Corine ordered by create time from oldest to newest.	GET drive.root.children FILTER file.name eq lan FILTER file.lastModifiedBy eq Corine FILTER file.createdBy eq Darryl Gaut ORDERBY file.createdDateTime asc
What are the image files created by Bortz in the order of newest to oldest of their created time?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Bortz ORDERBY file.createdDateTime desc
What are the top 12 Composting files that were created by Nena Beddo in the order from oldest to newest and were shared with anyone?	GET drive.root.children FILTER file.createdBy eq Nena Beddo FILTER file.sharedWith eq anyone FILTER file.name eq Composting TOP 12 ORDERBY file.createdDateTime asc
Give me the top 4 file type of files that were created by Zetta in the order from oldest to newest.	GET drive.root.children FILTER file.createdBy eq Zetta TOP 4 ORDERBY file.createdDateTime asc
What are the image files created by Bortz in the order of newest to oldest of their created time?	GET drive.root.children FILTER file.fileType eq jpeg FILTER file.createdBy eq Bortz ORDERBY file.createdDateTime desc
What files were created last Tuesday by Valentina Monarrez arranged in order of created time from oldest to newest?	GET drive.root.children FILTER file.createdBy eq Valentina Monarrez FILTER file.createdDateTime eq last Tuesday ORDERBY file.createdDateTime asc
Give me the top 4 file type of files that were created by Zetta in the order from oldest to newest.	GET drive.root.children FILTER file.createdBy eq Zetta TOP 4 ORDERBY file.createdDateTime asc
Provide the files by arranging them in order of created time from newest to oldest.	GET drive.root.children ORDERBY file.createdDateTime desc
What are the top 4 file type of files created by Zetta ordered from oldest to newest?	GET drive.root.children FILTER file.createdBy eq Zetta TOP 4 ORDERBY file.createdDateTime asc
Tell me about the files named as lan that were created by Darryl Gaut and last updated by Corine ordered by create time from oldest to newest.	GET drive.root.children FILTER file.name eq lan FILTER file.lastModifiedBy eq Corine FILTER file.createdBy eq Darryl Gaut ORDERBY file.createdDateTime asc
What are the top 4 file type of files created by Zetta ordered from oldest to newest?	GET drive.root.children FILTER file.createdBy eq Zetta TOP 4 ORDERBY file.createdDateTime asc
What are the shared with status of top 9 pdf files ordered by create time from oldest to newest?	GET drive.root.children FILTER file.fileType eq pdf ORDERBY file.createdDateTime asc TOP 9
Give me the top 8 central-server architecture files that were edited three hours ago ordered by their create time from oldest to newest.	GET drive.root.children FILTER file.lastModifiedDateTime eq three hours ago FILTER file.name eq central-server architecture TOP 8 ORDERBY file.createdDateTime asc
Give me the files about action selection last modified by Ressie Cassatt ordered by created time from oldest to newest.	GET drive.root.children FILTER file.lastModifiedBy eq Ressie Cassatt FILTER file.name eq action selection ORDERBY file.createdDateTime asc
What is the created time of the last file  Eleni Aurrichio created this Thursday?	GET drive.root.children FILTER file.createdBy eq Eleni Aurrichio FILTER file.createdDateTime eq last Thursday ORDERBY file.createdDateTime desc TOP 1
Give me the shared with status of top 9 pdf files ordered by create time from oldest to newest.	GET drive.root.children FILTER file.fileType eq pdf ORDERBY file.createdDateTime asc TOP 9
Give me the top 18 ToBWireless files last modified by Xiomara  ordered by created time from newest to oldest.	GET drive.root.children FILTER file.name eq ToBWireless FILTER file.lastModifiedBy eq Xiomara TOP 18 ORDERBY file.createdDateTime desc
What is the created time of the last file  Eleni Aurrichio created this Thursday?	GET drive.root.children FILTER file.createdBy eq Eleni Aurrichio FILTER file.createdDateTime eq last Thursday ORDERBY file.createdDateTime desc TOP 1
Give me the files that Sirbaugh created from oldest to newest order.	GET drive.root.children FILTER file.createdBy eq Sirbaugh ORDERBY file.createdDateTime asc
Provide the top 15 Feeding preferences image files arranged in order of creation time from newest to oldest.	GET drive.root.children FILTER file.name eq Feeding preferences FILTER file.fileType eq jpeg ORDERBY file.createdDateTime desc TOP 15
Make a list of top 18 files created by Carol Junke and last modified by Refugia Angelilli arranged in order of creation time from newest to oldest.	GET drive.root.children FILTER file.lastModifiedBy eq Refugia Angelilli FILTER file.createdBy eq Carol Junke TOP 18 ORDERBY file.createdDateTime desc
List out the top 16 files shared with specific users that were created this Sunday arranged in order of created time from oldest to newest.	GET drive.root.children FILTER file.sharedWith eq specific users FILTER file.createdDateTime eq this Sunday TOP 16 ORDERBY file.createdDateTime asc
What are the Spreadsheet files that were created last Wednesday in the order newest to oldest?	GET drive.root.children FILTER file.createdDateTime eq last Wednesday FILTER file.name eq Spreadsheet ORDERBY file.createdDateTime desc
Give me the shared with status of top 9 pdf files ordered by create time from oldest to newest.	GET drive.root.children FILTER file.fileType eq pdf ORDERBY file.createdDateTime asc TOP 9
